0.00000000000000000000	0.000000000000000000000000000000	160789847117.727386474609375000000000000000	
100000.00000000000000000000	75.774371624681592152228404302150	160764180355.949188232421875000000000000000	
200000.00000000000000000000	303.073294387430678398231975734234	160687188265.115539550781250000000000000000	
300000.00000000000000000000	681.824200321884745790157467126846	160558895425.894897460937500000000000000000	
400000.00000000000000000000	1211.906168561538606809335760772228	160379342797.347778320312500000000000000000	
500000.00000000000000000000	1893.149963947259720953297801315784	160148587703.849456787109375000000000000000	
600000.00000000000000000000	2725.338091060549231769982725381851	159866703816.787414550781250000000000000000	
700000.00000000000000000000	3708.204863665289394702995195984840	159533781131.039672851562500000000000000000	
800000.00000000000000000000	4841.436489535807595530059188604355	159149925936.241241455078125000000000000000	
900000.00000000000000000000	6124.671170644160156371071934700012	158715260782.848114013671875000000000000000	
1000000.00000000000000000000	7557.499218674648545857053250074387	158229924443.009460449218750000000000000000	
1100000.00000000000000000000	9139.463185828672067145816981792450	157694071866.260589599609375000000000000000	
1200000.00000000000000000000	10870.058010878152344957925379276276	157107874130.050872802734375000000000000000	
1300000.00000000000000000000	12748.731180420880264136940240859985	156471518385.122314453125000000000000000000	
1400000.00000000000000000000	14774.882905286291133961640298366547	155785207795.756286621093750000000000000000	
1500000.00000000000000000000	16947.866312035348528297618031501770	155049161474.907531738281250000000000000000	
1600000.00000000000000000000	19266.987649493352364515885710716248	154263614414.246093750000000000000000000000	
1700000.00000000000000000000	21731.506510249739221762865781784058	153428817409.129516601562500000000000000000	
1800000.00000000000000000000	24340.636067054150771582499146461487	152545036978.529388427734375000000000000000	
1900000.00000000000000000000	27093.543324033227690961211919784546	151612555279.937530517578125000000000000000	
2000000.00000000000000000000	29989.349382647975289728492498397827	150631670019.279357910156250000000000000000	
2100000.00000000000000000000	33027.129722306708572432398796081543	149602694355.862945556640625000000000000000	
2200000.00000000000000000000	36205.914495543998782522976398468018	148525956802.394104003906250000000000000000	
2300000.00000000000000000000	39524.688837671354121994227170944214	147401801120.089721679687500000000000000000	
2400000.00000000000000000000	42982.393190800743468571454286575317	146230586208.922424316406250000000000000000	
2500000.00000000000000000000	46577.923642137480783276259899139404	145012685993.031951904296875000000000000000	
2600000.00000000000000000000	50310.132276434473169501870870590210	143748489301.339721679687500000000000000000	
2700000.00000000000000000000	54177.827542495229863561689853668213	142438399743.404632568359375000000000000000	
2800000.00000000000000000000	58179.774633608656586147844791412354	141082835580.559844970703125000000000000000	
2900000.00000000000000000000	62314.695881794061278924345970153809	139682229592.371704101562500000000000000000	
3000000.00000000000000000000	66581.271165730591746978461742401123	138237028938.463378906250000000000000000000	
3100000.00000000000000000000	70978.138332240734598599374294281006	136747695015.747329711914062500000000000000	
3200000.00000000000000000000	75503.893631193292094394564628601074	135214703311.112350463867187500000000000000	
