0.0000000000	-2421115165659482719455050599497728.0000000000		0.00000	0.00000	0.00000	160789847117.72739	0.00000	0.00000	161153079451.88205	0.00000	0.00000	
100000.0000000000	-2421114189226979523973820564111360.0000000000		76.71844	0.00000	-8481.32065	160764364948.89041	0.00000	2872864767.90608	161112779070.46970	0.00000	2975293070.92577	
200000.0000000000	-2421111327606458302429405045063680.0000000000		306.84918	0.00000	-16959.89867	160687911913.30258	0.00000	5744916531.14935	160993064374.47540	0.00000	5941318146.51582	
300000.0000000000	-2421106776737120147725212350152704.0000000000		690.31857	0.00000	-25432.99234	160560469616.46112	0.00000	8615334419.99694	160797399170.33197	0.00000	8889459512.96884	
400000.0000000000	-2421100843062814389025058595012608.0000000000		1227.00382	0.00000	-33897.86168	160382011133.54297	0.00000	11483282654.99261	160531257436.12375	0.00000	11812340470.31386	
500000.0000000000	-2421093923132228771877800510488576.0000000000		1916.73313	0.00000	-42351.76936	160152505920.43140	0.00000	14347904800.71388	160201729762.38986	0.00000	14704306323.77931	
600000.0000000000	-2421086487350200897564655199715328.0000000000		2759.28570	0.00000	-50791.98157	159871925779.77008	0.00000	17208319362.83713	159817045061.85318	0.00000	17561800042.95647	
700000.0000000000	-2421079068243739706126535927791616.0000000000		3754.39182	0.00000	-59215.76890	159540251720.02087	0.00000	20063616572.05959	159386020515.43121	0.00000	20383643079.89469	
800000.0000000000	-2421072245253513649921962985652224.0000000000		4901.73296	0.00000	-67620.40726	159157481936.84293	0.00000	22912856418.55709	158917421448.52332	0.00000	23171216242.69070	
900000.0000000000	-2421066612413545021606745797033984.0000000000		6200.94184	0.00000	-76003.17868	158723641199.68341	0.00000	25755068583.43307	158419208542.83563	0.00000	25928488951.61396	
1000000.0000000000	-2421062717833450810483826497683456.0000000000		7651.60262	0.00000	-84361.37227	158238791355.66238	0.00000	28589255506.92958	157897695384.76636	0.00000	28661797795.35603	
1100000.0000000000	-2421060978528886259620777847422976.0000000000		9253.25095	0.00000	-92692.28502	157703041513.28232	0.00000	31414399846.20667	157356731191.14157	0.00000	31379274264.92585	
1200000.0000000000	-2421061596200047017190181327339520.0000000000		11005.37418	0.00000	-100993.22273	157116555362.13782	0.00000	34229476513.03848	156797111943.53873	0.00000	34089906441.12410	
1300000.0000000000	-2421064511924405132479859783630848.0000000000		12907.41148	0.00000	-109261.50084	156479553044.16644	0.00000	37033467563.69856	156216426408.94116	0.00000	36802372679.30476	
1400000.0000000000	-2421069423804838238419321425494016.0000000000		14958.75406	0.00000	-117494.44529	155792306552.82269	0.00000	39825376629.21753	155609418820.42853	0.00000	39523911916.80567	
1500000.0000000000	-2421075857807698386040463602745344.0000000000		17158.74533	0.00000	-125689.39340	155055130008.38446	0.00000	42604239614.73051	154968760494.64841	0.00000	42259491995.23692	
1600000.0000000000	-2421083256337797122995246170374144.0000000000		19506.68117	0.00000	-133843.69470	154268367726.16107	0.00000	45369130108.33836	154285997348.94357	0.00000	45011400619.88041	
1700000.0000000000	-2421091050405052070761379930308608.0000000000		22001.81011	0.00000	-141954.71182	153432382863.59973	0.00000	48119160025.50868	153552450739.04648	0.00000	47779216927.61325	
1800000.0000000000	-2421098701452937686307192294080512.0000000000		24643.33359	0.00000	-150019.82129	152547548121.00577	0.00000	50853477162.80502	152759953811.71735	0.00000	50560029917.26591	
1900000.0000000000	-2421105718587854619170414597767168.0000000000		27430.40625	0.00000	-158036.41442	151614238608.79785	0.00000	53571261261.53234	151901414368.92508	0.00000	53348775837.45696	
2000000.0000000000	-2421111665590456973949563207417856.0000000000		30362.13617	0.00000	-166001.89811	150632826296.57083	0.00000	56271719433.99100	150971250972.73352	0.00000	56138626380.61921	
2100000.0000000000	-2421116170565880852102849744601088.0000000000		33437.58516	0.00000	-173913.69573	149603675484.72955	0.00000	58954081045.11669	149965746972.64212	0.00000	58921420249.14314	
2200000.0000000000	-2421118944135448930241395172573184.0000000000		36655.76911	0.00000	-181769.24790	148527139188.67209	0.00000	61617591759.57768	148883331235.06665	0.00000	61688161239.97453	
2300000.0000000000	-2421119803832859297182714454605824.0000000000		40015.65822	0.00000	-189566.01335	147403556825.97781	0.00000	64261506553.62560	147724754361.19247	0.00000	64429598868.38935	
2400000.0000000000	-2421118696365571510454575284879360.0000000000		43516.17743	0.00000	-197301.46971	146233253838.46054	0.00000	66885081923.12095	146493109889.48959	0.00000	67136873029.76923	
2500000.0000000000	-2421115708611314549390250354933760.0000000000		47156.20668	0.00000	-204973.11434	145016543712.33096	0.00000	69487568005.94490	145193663456.06360	0.00000	69802165309.26384	
2600000.0000000000	-2421111063202891479349017469517824.0000000000		50934.58134	0.00000	-212578.46511	143753732376.35959	0.00000	72068201561.74303	143833491515.45874	0.00000	72419281598.61858	
2700000.0000000000	-2421105101965402791406445195689984.0000000000		54850.09256	0.00000	-220115.06120	142445124466.50140	0.00000	74626200571.70950	142420970500.70337	0.00000	74984105084.89006	
2800000.0000000000	-2421098264924349708562913281703936.0000000000		58901.48766	0.00000	-227580.46390	141091030754.47055	0.00000	77160760784.53970	140965172570.98721	0.00000	77494893559.92072	
2900000.0000000000	-2421091070784560384092501306245120.0000000000		63087.47057	0.00000	-234972.25738	139691776222.09503	0.00000	79671054177.42447	139475209372.29840	0.00000	79952423541.89325	
3000000.0000000000	-2421084097695065709077100576636928.0000000000		67406.70222	0.00000	-242288.04948	138247708604.75500	0.00000	82156229295.48122	137959537954.03925	0.00000	82359984131.84921	
